✨ Hold at least 10 MUNDI token ✨ Share an extra $10,000 in MUNDI!	
Address	MUNDI Reward
EfShrGc8bE3WYJXCyY9ASpy3JF5F87qHVGxDfcEQ7Xec	1000
8bHcY9WaTQ2exFbxmjFtyeJXtqxUSNiahrMJJkXJZAMR	1000
Mkd4FkaMHhQffgZUDE6kDV8VEjmXiPdZ7VcrS5hmPiA	1000
PrLEiESPrJKMWv6gfgkBhCknaZCHLComJi5uSnPNQvf	1000
EV81yT9Eq3DZTrt8KRanodN9xWPEXuDC2FFeV5gfeNE4	1000
CtGEqJNxLRxcUG3PYH6W7b9mLdvsjRv8SmFRG4CGTbSP	1000
Gfw2dKRUiBzyjjjAUZxzpBS7qoxPbpVggh4Rn79ZGQgc	1000
9nVu841ggRKj2kib86gPberWKtKiThB5rq2CsyDicxsv	1000
93u6rjmnYiCARcAt4SBUuyzoiTZB3qeoyJFSrNkECTpK	1000
ANmStYAPEUcEt6nJMVevQg65o98mkAiZk8jtDQC8aamW	1000
4PkowFhF93kxUByRv9pEU8xLk45cAARBVktBS19N23pe	1000
D9H3csZdrmQLqeHQ55QSS9LcpLftGDWHb5ghqkEe3PPF	1000
9bK1XLzkuLpYaZMJu69QQ67rmEhZ5TjMR1hJ3heoXZtz	1000
5PcyzEgEippHx7VHAyazuL3hwuCnG7z2JoFMcGByAAY6	1000
6r2cHcBQMVwt1bSBnSJWz7AkxckYWpeJYTgAkCrTKbp2	1000
59GJzzdsX17iXX4NNcNYizjqKrm14Yodn12LGyxfFBq	1000
4pBsKK88DRAWckNaWk6MsD3Cdv9um1FD9LKLKkJ1AUrF	1000
DH6BGrL5arCwjbmKH6y9xKeEKVjTVSeFgEpoB1hc2LSF	1000
6Fse5q6UA4CH2Nj7PwCCK7iqcZJBMe5mhJSCkYEajRxD	1000
Ap3ABLP257oTbd5voFD6Dbfp8vrh9d5StEAw6QQfUkm7	1000
13iPHLotatvvtXpjnTFedGtVVLxmf44Cdy8AYTa4MMz4	1000
DbpWDA9Srqwz7VDddkfGzFzusAv1bvV8S49T9H7XHFsm	750
FJehGdEEbbrtpKNyppT3rCR17q2wxf11Eceoc41P3m5e	750
JBVtKcJv8BC1yp1wuv4dScfghrYfsBXCD3TwsXrdxHba	750
6hwxSxCaiDckoHTRh9X8haQXKeuJjruJTKF5wSV2knwp	750
3FSRRidYe11t6YPKbdU16gJr1vGRKfamNDWkWiW4ETaG	750
45NFfPXGE52F6x7CSNi7GJyRWs4KVvTnxoBzGjGAsyZo	750
EuTiyeWevugGX6D8JchUvyQB8rBV4Xy7EoQLd4YDxwvt	750
6jd5JV3Bc7bZqWNdVz3qxy84A4GNKCHaNN8Twh1nST5d	750
8z4s4zvCUtGzWuvoehBybscojgeJQF5jxEz1jb1V9zu	750
J1KJcZ43ooKWx3D3awKmNQAagosu45S54GkEodVq4qGw	750
9YMxZiaLoE23newsFWJpAyNEr1dERQ1btC9oJSRhP6XM	750
ARo55uhfrgMW9hy86dGEhXBVbPMejrzMKEjot2jj5QLa	750
J2GhGwxnCxRAvHr9ph3Qgx46xb9h3WPH2rYH4o3wyE7W	750
7tvDMVqnt2GvzDFPKntgDnRHoFhATF5mnt7BVDhXBAuo	750
8dRjQJvAkhk1kSGWm6AUCjXo27xpBLmvquKMrv3WTUBf	750
9fRj1EQcnhszfLepKT8iBVqGzDEatDwBFxgRpMXJjcFv	750
CHG4meDJTDrUAMXLJV6Ajgt43psKiTrZmgUtme3C9jb6	750
DHrt2pJZs4Ju6X686Vc2FHAzufqBYr1ZsV5BFphydTdh	750
83Zqc75YLDSPaGaLpv53EegQnrEJHs43YspDd66QbfgF	750
45vwMPsNxwNqnEF1zzUq5NdyB68vURPUpqDq3Vcst6s7	750
3abYm1TiQ1wyTbE8AkDpAFNDJQj7VVskuPk8R4kgQ7Wk	750
6TiyewF4Wo4nudfsrHSVTbT9E2PMQ3X4iVJ4QkVtdJjS	750
H7ZsdEqYGyihAHhxdhpQHW9Yfd4QwPiDiQVeSS2o544e	750
4uujtEyTPaqViQ3MWEv6mCgref81PK6DvgPrQ4DpfJM6	750
6WscghK1t6AhN73eUDseQ1efw6jojeqNuXfV6327TsQB	750
BMPY9Z3j6JPrxShcK6aV3ngByEU32pmV5fZp7VsjLQtn	750
5uJn84iUHMWngk2GcgqM4pTJ72ZJNhB1FdepMHaxX6ag	750
67JcgNjrSGfaDHpt3bqmu21E9yv7KxoY7RVwknvLFxWv	750
FxtgdtvZkPBZsYSGrUPJLPNWW3MaKAVHvSTBs8WxUBi3	750
AmwfKz3BUNxvtkhQQaudGCpFFYVQsKD7osQbAVxFGv3A	750
CxMXTZcaShm1qwE61yyaMVZFdhQ324UkLNGqCYHf3NxL	750
2CtaPxsp84qxmW1bv7ypM6Vbh3jPe8rokbY8p2WbCeLV	750
AmNpAX8TyTdZPPBxR3mjgjMpZqdFAMfEzmw6bH6sBuwn	750
HH2BwDcZR5Qg1tSHMPQ6tj8FoTckTUSi6LuiB4RDdLL	750
H1WRzMBrweioGsMbQdaXhRkoqYQKF1Wu5koARPTUVqsU	750
CZqufAeMekBjKhDkju3AbrFXDLTpYXAc3NJzAndeQvNZ	750
oaEpZksNY3hLfEk9px4QHh324wDLPmfU9sUNwLW1zf4	750
Eh4tsH34pBuVEqGYK9NiHBxX34VRQmNJSDQiqdntWCXm	750
2Ln5Db2kJFSmezWZv2SaKetrRaaNNUDJNrP7BVgznB4m	750
2mGLScfWpT5xpq6WosN3aXxqU3W6R4WMrmHM6WQKTdtb	750
6v7JsPmdg1WvHtqkKTV4FF8x3XH4Hqzc7BidHzWnye1z	750
CPPJ7h7CvPjcC49xD4Eg77aPoxe9wMsy7SLJH2vjqjhp	750
2HASLDPoKEnNbG45LRyQVX6YrCZBHhE4YYe2qEAueDB6	750
Hut3erXJH1XuZVjE8MpYcAcdBKXr5aVKnHnNFTTXLF4q	750
3ddbv7qvZoE9wZbB8FRsoLJcJFhACN62jrsTDWiptZsk	750
7dsGSiR8aLVNJFigsCzyaSvMQWqQDYJeVht5LiWsHoYK	750
DQ1z69hZTeUaYDHfXicxzu3Zfr8ACQjFjJtVVoDVyCoZ	750
2Ssff1eSJo4q9cnxSawhdgdx69rECGbkKLRz18t5NA6W	750
3d3g8zsXcZhrNKdpYQn3B19o44bmju1S6bMP5NDGmBUs	750
GprUY3fRh9As3v1CuQx1HSVHpkQmF1SSimVGsTmgVsTA	750
4Hi5hEd9LdMMKxsxhYjE2MWp8g5oXspF2e5BbQtRThBg	500
Dg5GdsfX3dMKHTYNaEsPzg29yhmA3Lr5QwRuwgr1jyMN	500
DC8oXQ7EX52W8wDMa1mueKepHueu7BeSL9qsmJe6DFAF	500
25EM22TkdVfnkHwcXkh52t2WNUoetpNBCHYMVBnngzme	500
F33qNomLZbESH7e7uYyeFmQiSKDQ2JE22xmjkXXvE3UV	500
74qt4pWkMvaACL6QepdVdnZnBghZocQcUGTEqagatNA9	500
8Jf7YGa1ZtNSFXMMKvHGkcjUGU7CHESPgzrJrShyzvqv	500
BtE5f94hZP5AKNSrsBTrjGEfMePw6q6pnuDf3SvVBSe9	500
DSPAtixyVfey27GJuV9mmGgXcgFLGgMrwuy1JVFnmYpu	500
3n5NeR9HEDUG3KTHZQgJCu8dqrUy1SgNvzypbHmjKHFo	500
DSmP4GpT4jDzeFpoW46gogCN6pp6wqjCXkM61gt8awNQ	500
DMdMdBhL6CarbzeFeBnpg8UkMnQzSsyNKfK4qnYPe1hG	500
EbT9qgQ31tPcubgonkUUZxK5NqiCGiYmjUF74Pb619tn	500
